date,Japan,China,United States of America,South Korea,United Kingdom,Germany,France
2015/12/30,806832.43,,,,,,
2015/12/31,913859.98,,,,,,
2016/1/1,1812418.43,,,,,,
2016/1/2,1573039.85,,,,,,
2016/1/3,1449505.52,,,,,,
2016/1/4,1334505.56,,,,,,
2016/1/5,1593494.62,,,,,,
2016/1/6,2033272.41,,,,,,
2016/1/7,2027239.35,,,,,,
2016/1/8,1390436.64,,,,,,
2016/1/9,1047012.31,,,,,,
2016/1/10,892814.92,,,,,,
2016/1/11,801308.21,,,,,,
2016/1/12,844151.37,,,,,,
2016/1/13,1178613.45,,,,,,
2016/1/14,996329.33,,,,,,
2016/1/15,662626.97,,,,,,
2016/1/16,690360.48,,,,,,
2016/1/17,616352.17,,,,,,
2016/1/18,484566.96,,,,,,
2016/1/19,481237.68,,,,,,
2016/1/20,1503577.05,,,,,,
2016/1/21,2075340.1,,,,,,
2016/1/22,1834767.8,,,,,,
2016/1/23,1154060.51,,,,,,
2016/1/24,1618215.43,,,,,,
2016/1/25,1213746.63,,,,,,
2016/1/26,751879.86,,,,,,
2016/1/27,477322,,,,,,
2016/1/28,366458.77,,,,,,
2016/1/29,319489.49,,,,,,
2016/1/30,324178.95,,,,,,
2016/1/31,291599.21,,,,,,
2016/2/1,343999.08,,,,,,
2016/2/2,453505.51,,,,,,
2016/2/3,651141.8,,,,,,
2016/2/4,714880.55,,,,,,
2016/2/5,646749.8,,,,,,
2016/2/6,609676.39,,,,,,
2016/2/7,585141.64,,,,,,
2016/2/8,531498.78,,,,,,
2016/2/9,532400.67,,,,,,
2016/2/10,710070.17,,,,,,
2016/2/11,1500861.17,,,,,,
2016/2/12,950732.73,,,,,,
2016/2/13,945218.57,,,,,,
2016/2/14,874896.23,,,,,,
2016/2/15,816819.94,,,,,,
2016/2/16,832193.39,,,,,,
2016/2/17,911475.91,,,,,,
2016/2/18,903448.15,,,,,,
2016/2/19,817875.46,,,,,,
2016/2/20,673528.5,,,,,,
2016/2/21,474573.87,,,,,,
2016/2/22,228263.99,,,,,,
2016/2/23,360237.65,,,,,,
2016/2/24,613808.41,,,,,,
2016/2/25,1702564.72,,,,,,
2016/2/26,1831064.37,,,,,,
2016/2/27,2042336.46,,,,,,
2016/2/28,1262362.06,,,,,,
2016/2/29,880410.79,,,,,,
2016/3/1,942765.21,,,,,,
2016/3/2,709308.65,,,,,,
2016/3/3,612771.92,,,,,,
2016/3/4,588046.65,,,,,,
2016/3/5,739544.61,,,,,,
2016/3/6,559588.56,,,,,,
2016/3/7,415529.33,,,,,,
2016/3/8,574831.19,,,,,,
2016/3/9,1114001.77,,,,,,
2016/3/10,979951.01,,,,,,
2016/3/11,898372.68,,,,,,
2016/3/12,695646.61,,,,,,
2016/3/13,770339.41,,,,,,
2016/3/14,664089.42,,,,,,
2016/3/15,533967.3,,,,,,
2016/3/16,1031288.22,,,,,,
2016/3/17,948247.22,,,,,,
2016/3/18,797098.26,,,,,,
2016/3/19,714349.67,,,,,,
2016/3/20,679294.26,,,,,,
2016/3/21,621582.98,,,,,,
2016/3/22,593194.25,,,,,,
2016/3/23,556424.88,,,,,,
2016/3/24,456508.47,,,,,,
2016/3/25,433243.77,,,,,,
2016/3/26,399745.17,,,,,,
2016/3/27,346842.84,,,,,,
2016/3/28,270179.54,,,,,,
2016/3/29,343116.86,,,,,,
2016/3/30,510772.47,,,,,,
