date,China,Japan,South Korea,United States of America,Germany,France,United Kingdom,Russia,
2017/2/21,69005.65,134366.26,,1754.35,,,,,
2017/2/22,92880.71,134852.21,,1914.6,,,,,
2017/2/23,135406.47,157584.48,,1963.63,,,,,
2017/2/24,125282.84,176313.03,,1149.1,,,,,
2017/2/25,108594.71,190369.67,,2160.81,,,,,
2017/2/26,84407.47,177588.47,,1669.63,,,,,
2017/2/27,77502,152629.96,,1236.22,,,,,
2017/2/28,80867.27,154323.37,,2441.04,,,,,
2017/3/1,91167.69,276787.46,,1845.76,,,,,
2017/3/2,70937.05,178537.73,,2264.84,,,,,
2017/3/3,81374.23,192641.28,,2383.75,,,,,
2017/3/4,66450.01,178676.87,,1699.35,,,,,
2017/3/5,58159.01,133531.56,,1365.4,,,,,
2017/3/6,90265.78,103742.39,,1951.17,,,,,
2017/3/7,89467.02,94713.48,,2556.82,,,,,
2017/3/8,92820.83,83554.85,,1734.14,,,,,
2017/3/9,130375.15,75063.46,,2566.79,,,,,
2017/3/10,251595.56,96918.59,,3232.78,,,,,
2017/3/11,226007.57,130694.44,,2292.88,,,,,
2017/3/12,115600.82,91539.2,,1488.83,,,,,
2017/3/13,79318.29,70824.06,,2294.68,,,,,
2017/3/14,81915.41,64364.77,,1251.18,,,,,
2017/3/15,58143.87,56046.77,,1074.47,,,,,
2017/3/16,56403.2,54750.07,,1451.25,,,,,
2017/3/17,109678.98,61025.91,,2538.68,,,,,
2017/3/18,87530.88,59561.81,,1769.38,,,,,
2017/3/19,86192.87,51231.05,,1872.68,,,,,
2017/3/20,70655.37,46507.21,,1101.09,,,,,
2017/3/21,67752.85,38825.99,,544.41,,,,,
2017/3/22,72660.43,34754.1,,328.85,,,,,
2017/3/23,55529.4,39585.66,,569.3,,,,,
2017/3/24,87928.69,60975.18,,1973.05,,,,,
2017/3/25,88713.41,85831.28,,1253.42,,,,,
2017/3/26,70003.02,57849.26,,793.78,,,,,
2017/3/27,68979.61,43770.57,,399.97,,,,,
2017/3/28,49127.73,39798.34,,173.46,,,,,
2017/3/29,38423.15,35834.25,,836.65,,,,,
2017/3/30,45361.82,54388.6,,738.42,,,,,
2017/3/31,74519,167771,,1860.82,,,,,
2017/4/1,67476.54,227231.29,,2942.99,,,,,
2017/4/2,116044.66,130614.41,,2120.76,,,,,
2017/4/3,83975,87791.36,,1859.92,,,,,
2017/4/4,144850.72,77972.73,,1432.13,,,,,
2017/4/5,88591.39,74854.9,,1098.24,,,,,
2017/4/6,70740.33,65503.77,,1435.29,,,,,
2017/4/7,91690.06,51519.18,,1103.39,,,,,
2017/4/8,77360.64,44938.45,,930.64,,,,,
2017/4/9,59123.16,32079.85,,952.22,,,,,
2017/4/10,51022.15,29738.85,,920.19,,,,,
2017/4/11,36837.02,27136.8,,3020.46,,,,,
2017/4/12,61250.5,37067.44,,2958.27,,,,,
2017/4/13,197563.69,40019,,5739.83,,,,,
2017/4/14,124865.85,36428.84,,16476.84,,,,,
2017/4/15,823993.52,39138.93,,16705.93,,,,,
2017/4/16,499624.48,30710.19,,13207.53,,,,,
2017/4/17,419512.22,22592.24,,14719.18,,,,,
2017/4/18,298471.93,20947.01,,14368.87,,,,,
2017/4/19,240117.01,20035.95,,9902.43,,,,,
2017/4/20,191714.77,26973.06,,8971.47,,,,,
2017/4/21,219420.64,41637.81,,5945,,,,,
2017/4/22,179801.85,51946.41,,7709.04,,,,,
2017/4/23,118626.37,47904.04,,4331.81,,,,,
2017/4/24,107148.72,54005.88,,7886.18,,,,,
2017/4/25,108113.31,67909.78,,8697.74,,,,,
2017/4/26,106167.97,68650.1,,5892.09,,,,,
2017/4/27,98282.98,49587.59,,9390.81,,,,,
2017/4/28,442018.52,74131.13,,16775.44,,,,,
2017/4/29,321328.95,79934.14,,8628.32,,,,,
2017/4/30,276377.09,73977.72,,10011.1,,,,,
2017/5/1,504911.67,88277.69,,7065.33,,,,,
2017/5/2,180828.75,60972.18,,4829.74,,,,,
2017/5/3,77672.07,51160.12,,2223.6,,,,,
2017/5/4,60443.07,52717.2,,3341.31,,,,,
2017/5/5,119113.98,56488.27,,4947.9,,,,,
2017/5/6,99235.03,43090.93,,4351.25,,,,,
2017/5/7,89378.28,33763.79,,3997.68,,,,,
2017/5/8,85109.17,26479.83,,3545.51,,,,,
2017/5/9,68114.86,23764.61,,5587.72,,,,,
2017/5/10,106921.53,26940.72,,7515.49,,,,,
2017/5/11,113393.83,22805.03,,10329.68,,,,,
2017/5/12,514343.82,28220.43,,13306.15,,,,,
2017/5/13,363802.32,29830.44,,8647.41,,,,,
2017/5/14,211613.09,20897.95,,5230.41,,,,,
2017/5/15,156645.2,19643.6,,3783.63,,,,,
2017/5/16,114248.38,18230.93,,4187.92,,,,,
2017/5/17,105986.26,19034.91,,6282.45,,,,,
2017/5/18,77536.91,22633.98,,6994.42,,,,,
2017/5/19,71501.88,28326.18,,4042.83,,,,,
2017/5/20,70653.26,28792.84,,1940.43,,,,,
2017/5/21,58367.62,23563.03,,2589.76,,,,,
2017/5/22,55170.76,17176.54,,2508.73,,,,,
2017/5/23,61008.55,16037.41,,3790.89,,,,,
2017/5/24,62693.82,14518.4,,2880.71,,,,,
2017/5/25,66367.33,15639.94,,5498.5,,,,,
2017/5/26,125824.31,22763.8,,9399.45,,,,,
2017/5/27,103187.79,26015.4,,15538.75,,,,,
2017/5/28,246750.55,19533.05,,7663.89,,,,,
2017/5/29,152390.41,15286.56,,7172.6,,,,,
2017/5/30,111945.37,16509.54,,8645.59,,,,,
2017/5/31,83021.07,18596.96,,7698.64,,,,,
2017/6/1,85713.59,36186.89,,11160.98,,,,,
2017/6/2,187338.03,31005.53,,11254.67,,,,,
2017/6/3,175954.42,27609.01,,5500.14,,,,,
2017/6/4,121936.26,21915.98,,4287.12,,,,,
2017/6/5,95309.55,30058.79,,3594.11,,,,,
2017/6/6,69618.35,174781.09,,2754.44,,,,,
2017/6/7,75551.19,279729.53,,2832.94,,,,,
2017/6/8,59676.66,208818.27,,2752.79,,,,,
2017/6/9,89753.43,142199.06,,4975.11,,,,,
2017/6/10,94488.77,131878.5,,4655.74,,,,,
2017/6/11,98308.51,118004.51,,4243.94,,,,,
2017/6/12,96809.49,107081.03,,2057.15,,,,,
2017/6/13,75320.38,102420.59,,3515.3,,,,,
2017/6/14,63765.31,84142.07,,2191.14,,,,,
2017/6/15,62476.41,81152.34,,3850.27,,,,,
2017/6/16,107922.1,119549.3,,2173.59,,,,,
2017/6/17,72526.74,80145.8,,1080.52,,,,,
2017/6/18,70165.08,81792.91,,1093.81,,,,,
2017/6/19,53926.83,115344.91,,1014.54,,,,,
2017/6/20,50190.92,109731.97,,1947.96,,,,,
2017/6/21,39967.08,75394.62,,1041.93,,,,,
2017/6/22,39405.83,57908.45,,2712.28,,,,,
2017/6/23,56772.85,58833.52,,2628.97,,,,,
2017/6/24,60047.96,51727.45,,2828.69,,,,,
2017/6/25,53265.96,34292.17,,1875.28,,,,,
2017/6/26,78629.8,27009.47,,2493.88,,,,,
2017/6/27,78980.92,24383.06,,1792.8,,,,,
2017/6/28,68593.75,23379.13,,1202.81,,,,,
2017/6/29,71230.89,29245.82,,2214.23,,,,,
2017/6/30,104275.03,103413.54,,2405.58,,,,,
2017/7/1,103463.79,211925.74,,3256.81,,,,,
2017/7/2,96064.24,104078.76,,3590.46,,,,,
2017/7/3,83395.79,99462.63,,3288.43,,,,,
2017/7/4,60539.98,95305.87,,2453.25,,,,,
2017/7/5,58826.04,72650.82,,1610.79,,,,,
2017/7/6,81195.36,65656.92,,8552.09,,,,,
2017/7/7,377018.31,75128.27,,15561.88,,,,,
2017/7/8,291291.12,64259.63,,7974.21,,,,,
2017/7/9,190987.92,39193.96,,5942.98,,,,,
2017/7/10,134325.59,27030.82,,4054.72,,,,,
2017/7/11,101906.09,26407.23,,2540.73,,,,,
2017/7/12,95345.23,29023.52,,3028.44,,,,,
2017/7/13,89835.89,34686.76,,5053.69,,,,,
2017/7/14,159873.25,103882.46,,4274.83,,,,,
2017/7/15,128234.11,115344.45,,1439.43,,,,,
2017/7/16,108981.56,71535.56,,1348.7,,,,,
2017/7/17,87169.04,52261.98,,1138.06,,,,,
2017/7/18,75254.45,37655.49,,1070.49,,,,,
2017/7/19,60934.77,38840.09,,1056.71,,,,,
2017/7/20,63702.11,170754.81,,3412.11,,,,,
2017/7/21,463627.56,260473.89,,10049.77,,,,,
2017/7/22,350992.54,137388.23,,6587.52,,,,,
2017/7/23,237306.36,99973.01,,6698.42,,,,,
2017/7/24,426482.09,76109.56,,4151.63,,,,,
2017/7/25,331263.62,80786.87,,3630.45,,,,,
2017/7/26,279808.51,69731.23,,3998.13,,,,,
2017/7/27,219029.16,56361.64,,6854.5,,,,,
2017/7/28,179592.14,85051.15,,3689.08,,,,,
